price,guests,beds,bedrooms,baths,superhost,favourite,rating,reviews,latitude,longitude,area_Ampelokipoi-Menemeni,area_Evosmos,area_Stavroupoli,parking,view,self_checkin
47.0,3,2.0,0.0,1.0,0,0,4.0,8.0,40.64325702845274,22.93613227181846,1,0,0,0,0,1
90.04,5,2.0,2.0,1.0,0,0,5.0,4.0,40.6419,22.9277,1,0,0,0,0,0
100.33,6,3.0,2.0,1.0,0,0,4.11267716535433,0.0,40.66873,22.91681,1,0,0,0,0,0
56.04,4,1.0,1.0,1.0,0,0,4.0,51.0,40.6367,22.9353,1,0,0,0,0,0
58.0,4,2.0,1.0,1.0,1,0,4.0,41.0,40.62837,22.95135,1,0,0,0,0,1
60.63,4,1.0,1.0,1.0,1,0,4.0,22.0,40.6666,22.9293,1,0,0,0,0,1
74.8,4,2.0,1.0,1.0,1,1,4.0,21.0,40.6538,22.9172,1,0,0,1,0,0
43.8,4,2.0,1.0,1.0,1,0,4.0,24.0,40.6529,22.9073,1,0,0,0,0,1
211.86,5,3.0,2.0,1.0,0,0,4.0,19.0,40.63675,22.94795,1,0,0,0,0,1
106.0,6,3.0,2.0,1.0,0,0,4.0,20.0,40.63622,22.93774,1,0,0,0,0,1
63.5,5,3.0,2.0,2.0,1,0,4.0,33.0,40.61317,22.95565,1,0,0,0,0,1
77.8,2,1.0,1.0,1.0,1,1,4.0,47.0,40.6425,22.9349,1,0,0,0,0,1
134.54,9,5.0,3.0,1.0,1,1,4.0,18.0,40.6394,22.9383,1,0,0,0,0,1
75.61,4,2.0,1.0,1.0,0,0,4.0,8.0,40.6457,22.9311,1,0,0,0,0,1
97.2,8,4.0,3.0,1.0,0,0,4.0,25.0,40.6332,22.9477,1,0,0,0,0,0
86.96,4,4.0,2.0,1.0,0,0,4.11267716535433,0.0,40.6715,22.89627,1,0,0,0,0,1
94.0,4,2.0,1.0,1.0,1,0,4.0,74.0,40.639,22.9394,1,0,0,0,0,1
46.4,3,2.0,0.0,1.0,0,0,4.0,16.0,40.64157,22.93454,1,0,0,0,0,1
65.75,2,1.0,1.0,1.0,1,1,5.0,32.0,40.6539,22.9241,1,0,0,0,0,0
118.0,4,2.0,0.0,1.0,1,0,4.0,19.0,40.638,22.9387,1,0,0,0,0,1
112.09,6,3.0,2.0,1.0,0,0,4.11267716535433,0.0,40.66858,22.91709,1,0,0,1,0,0
51.5,3,2.0,1.0,1.0,0,0,4.0,7.0,40.6604,22.9055,1,0,0,0,0,0
46.51,2,1.0,0.0,1.0,1,1,5.0,10.0,40.649,22.9302,1,0,0,0,0,0
58.75,2,1.0,1.0,1.0,0,0,4.11267716535433,0.0,40.66159,22.90862,1,0,0,0,0,0
99.18,4,2.0,1.0,1.0,0,0,5.0,4.0,40.6551,22.924,1,0,0,0,0,1
55.13,2,2.0,1.0,1.0,0,0,5.0,3.0,40.6423,22.9348,1,0,0,0,0,1
103.41,4,2.0,2.0,1.0,0,0,4.11267716535433,0.0,40.6699,22.7991,1,0,0,0,0,1
48.97,3,1.0,1.0,1.0,0,1,4.0,8.0,40.6367,22.9353,1,0,0,0,0,0
45.4,4,1.0,0.0,1.0,1,0,4.0,23.0,40.64236,22.93311,1,0,0,0,0,1
52.8,4,2.0,1.0,1.0,0,1,5.0,6.0,40.64175,22.93458,1,0,0,0,0,0
98.47,6,3.0,2.0,1.0,0,0,5.0,3.0,40.6505,22.9235,1,0,0,0,0,0
70.5,6,2.0,2.0,1.0,0,0,4.11267716535433,0.0,40.64753,22.9222,1,0,0,0,0,1
60.6,2,1.0,1.0,1.0,0,0,5.0,3.0,40.64472,22.91993,1,0,0,0,0,1
65.0,3,1.0,1.0,1.0,0,0,4.0,3.0,40.64567556800816,22.921017922738745,1,0,0,0,0,1
104.4,8,4.0,3.0,1.0,0,0,4.0,6.0,40.64114,22.93473,1,0,0,0,0,0
87.53,6,2.0,2.0,1.0,0,0,4.11267716535433,0.0,40.6587,22.9112,1,0,0,0,0,0
71.28,5,3.0,1.0,1.0,0,0,4.11267716535433,0.0,40.6559,22.9047,1,0,0,0,0,1
